full_name,language,stars,size_kb,default_branch,markers,adoption_date,adoption_signal,adoption_detail,total_ai_events,pre_months,post_months,total_commits,avg_commits_per_month,first_commit,last_commit,window_valid
caoccao/swc4j,Java,182,7407,main,claude_code,2025-10-19T11:04:40+02:00,file_add,file_add:CLAUDE.md,2,19,4,878,46.21,2024-03-05T08:11:20+08:00,2026-02-10T16:31:46+01:00,True
ctrl-space-labs/gendox-core,Java,10,162472,main,claude_code,2025-08-14T11:04:36+03:00,file_add,file_add:CLAUDE.md,1,25,5,1286,41.48,2023-07-31T13:31:08+03:00,2026-01-27T12:39:18+02:00,True
eclipse-lyo/lyo,Java,20,8146,master,copilot,2025-11-22T16:32:18+01:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,6,168,4,1920,12.15,2011-11-08T10:07:28-05:00,2026-03-01T07:53:16+01:00,True
grafioschtrader/grafioschtrader,Java,23,98278,master,claude_code,2025-12-17T13:20:34+01:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]laude,2,57,3,917,16.09,2021-03-05T12:01:04+01:00,2026-03-01T11:34:32+01:00,True
quarkiverse/quarkus-hivemq-client,Java,6,19773,main,claude_code,2025-10-13T09:50:44+02:00,file_add,file_add:CLAUDE.md,10,55,4,558,13.61,2021-03-23T11:11:57-03:00,2026-02-16T15:29:55+01:00,True
remsfal/remsfal-backend,Java,7,11847,main,claude_code,2025-07-11T16:58:53+02:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,35,30,8,490,15.31,2023-01-20T13:45:34+01:00,2026-03-02T16:57:40+01:00,True
TrueLayer/truelayer-java,Java,10,2026,main,claude_code,2025-06-16T17:47:21+02:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]laude,6,43,4,249,6.22,2021-11-03T10:44:53+01:00,2025-10-31T15:22:20+01:00,True
Women-Coding-Community/wcc-backend,Java,19,3210,main,claude_code,2025-11-16T19:28:39+01:00,file_add,file_add:CLAUDE.md,1,18,4,621,28.23,2024-05-06T23:54:40+02:00,2026-03-09T23:16:06+01:00,True
agoncal/agoncal-application-vintagestore,Java,6,2625,main,claude_code,2025-07-27T15:02:23+02:00,file_add,file_add:CLAUDE.md,25,9,8,287,23.92,2024-10-11T14:59:50+02:00,2026-03-02T12:02:15+01:00,True
baretto-labs/OllamAssist,Java,29,3903,main,claude_code,2025-09-12T21:16:51+02:00,file_add,file_add:CLAUDE.md,6,8,5,174,12.43,2025-01-22T21:39:01+01:00,2026-02-18T13:14:23+01:00,True
deltazefiro/Amarok-Hider,Java,2879,4881,main,cursor,2025-02-03T19:44:41+08:00,file_add,file_add:.cursor/rules/,4,37,12,669,18.08,2022-01-31T14:46:17+08:00,2026-02-25T13:16:56+08:00,True
explore-de/rage4j,Java,10,4560,main,claude_code,2025-11-28T10:36:04+01:00,file_add,file_add:CLAUDE.md,1,10,3,202,16.83,2025-01-08T14:34:42+01:00,2026-02-13T11:59:25+01:00,True
kousen/java_8_recipes,Java,388,2019,master,claude_code,2025-06-25T13:09:38-04:00,file_add,file_add:CLAUDE.md,2,111,9,463,4.82,2016-03-11T10:34:58-06:00,2026-03-05T07:57:14-05:00,True
kousen/java_latest,Java,126,4155,main,claude_code,2025-03-02T08:29:13-05:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]laude,50,61,12,286,5.11,2020-02-27T14:21:08-05:00,2026-03-06T15:46:47-05:00,True
microsoft/gctoolkit,Java,1282,2180,main,copilot,2025-11-21T10:40:45-08:00,file_add,file_add:.github/copilot-instructions.md,4,52,4,529,10.17,2021-07-20T22:44:25+00:00,2026-03-02T23:30:36-05:00,True
msgpack/msgpack-java,Java,1466,3750,main,claude_code,2025-07-19T08:49:31-07:00,file_add,file_add:CLAUDE.md,15,169,6,1852,14.36,2011-06-29T17:49:03+09:00,2026-01-05T18:36:02+01:00,True
pablo67340/GUIShop,Java,46,3770,bukkit,cursor,2025-12-30T23:20:50-05:00,file_add,file_add:.cursor/rules/,3,142,3,413,6.56,2014-02-28T23:13:34-05:00,2026-03-07T15:38:05-05:00,True
tcheeric/nostr-java,Java,87,4398,main,claude_code,2025-07-29T00:50:50+01:00,file_add,file_add:AGENTS.md,74,31,7,1848,51.33,2022-12-18T13:51:36+00:00,2026-02-24T22:51:31+00:00,True
